Date,M5_Pattern,M1_Confirm,5m_Form,Entry_Direction,Emotions,Impulse,Patience_Score,Summary,Transcript,Media/Link
2026-03-29 15:20:05,,,,,,,,No recognizable data found,ughfyhfg,https://www.notion.so/Trade-15-20-33209f6278d481c09b2af304c949eaf4
2026-03-29 15:22:44,,,,,,,,No relevant information found,l;k;k;k;,https://www.notion.so/Trade-15-22-33209f6278d4817c8702f5cca2f7afcf
2026-03-29 15:34:19,,,,,,,,No relevant trading information found,fghjghjgf,https://www.notion.so/Trade-15-34-33209f6278d48156ae8fc1a6ece32040
2026-03-29 15:35:11,,,,,,,,No relevant information found,fgjngdjgh,https://www.notion.so/Trade-15-35-33209f6278d4813cbf43de618a4e5869
2026-03-29 15:43:46,,,,,,,,No relevant information found,hjhfkhk,https://www.notion.so/Trade-15-43-33209f6278d481f8a2d2f00fed9e03be
2026-03-29 16:26:06,,,,,,,,No relevant data found,hgmnhgjmgh,https://www.notion.so/Trade-16-26-33209f6278d48183a7c3e6d1f3ccab70
2026-03-29 16:28:55,,,,,,,,No relevant information found,ghfjgh,https://www.notion.so/Trade-16-28-33209f6278d481eebfd6fa5d09cacfdf
2026-03-29 16:30:44,,,,,,,,No relevant trading journal data found,fgjgj,https://www.notion.so/Trade-16-30-33209f6278d4816bbbeff7bc07cddecd
2026-03-29 17:01:04,,,,,,,,No relevant data found,fgdg,https://www.notion.so/Trade-17-01-33209f6278d481feb029c736a8103365
2026-03-29 17:03:24,,,,,,,,No relevant information found,gvjnvgjnvbj,https://www.notion.so/Trade-17-03-33209f6278d481ff9447e9d06c79d3ff
2026-03-29 17:14:01,,,,,,,,No relevant trading information found,kjlljkljklhkl,https://www.notion.so/Trade-17-13-33209f6278d481a1b2d5d5e7382f0b6e
2026-03-29 17:20:56,,,,,,,,No relevant information found,vnvnbncn,https://www.notion.so/Trade-17-20-33209f6278d481859acbcec8316df062
2026-03-29 17:31:31,,,,,,,,No relevant information found.,fghfghfghfg,https://www.notion.so/Trade-17-31-33209f6278d481c28617d7d6942811bf
2026-03-29 17:32:19,,,,,,,,No relevant information found,cbmcvmvcm,https://www.notion.so/Trade-17-32-33209f6278d481f3b4a1da8c82ec81de
2026-03-29 17:35:03,,,,,,,,No data found,dsdasdad,https://www.notion.so/Trade-17-34-33209f6278d4814eab2ad1362331e1f6
2026-03-29 17:44:57,,,,,,,,No relevant information found,bvmmbnm,https://www.notion.so/Trade-17-44-33209f6278d4819fbe88f6932a7e12ca
2026-03-29 17:45:14,,,,,,,,No relevant information found,fgdjjfdjj,https://www.notion.so/Trade-17-45-33209f6278d48181b622fda17ab14879
2026-03-29 17:46:04,,,,,,,,No relevant trading data found in transcript,fgdshdfh,https://www.notion.so/Trade-17-46-33209f6278d481bab967e41eca8f1331
2026-03-29 17:46:34,,,,,,,,No relevant data found,kjlkjljklhl,https://www.notion.so/Trade-17-46-33209f6278d4812189eac31ea3bbbacc
2026-03-29 17:47:17,,,,,,,,No relevant information found,gjhgfjghj,https://www.notion.so/Trade-17-47-33209f6278d4815fafb1f63bdea0331d
2026-03-29 17:47:38,,,,,,,,No relevant data found,fvhdfhdh,https://www.notion.so/Trade-17-47-33209f6278d48121bfb9e6e9cbb20966
2026-03-29 17:49:57,,,,,,,,,hmgmkfm,https://www.notion.so/Trade-17-49-33209f6278d481d1994ce1614202ab93
2026-03-29 18:00:34,,,,,,,,No data found,fdhdfgh,https://www.notion.so/Trade-18-00-23-33209f6278d48176914ccb97296980ad
2026-03-30 13:01:50,,,,,,,,No trading data found in the transcript.,hgkfjhk,https://www.notion.so/Trade-13-01-41-33309f6278d48106b9e8ee8424e4b12a
